,key_mlbam,name_first,name_last,at_bats,babip_P,hold_P,swing_P,Correct_P,Precision_P,ops_P,Decision,Decision_P,Total_Score
69,641355,Cody,Bellinger,70,74.79545945387403,95.0182995518577,85.95672416941296,94.39020726934433,114.38733481555636,184.90519078781662,389.75256580617133,96.72106962672832,226.57139474757366
70,592626,Joc,Pederson,53,127.01115756318228,107.32119853178487,82.20229253902481,91.933575491247,110.89719101839334,131.31215242202515,392.35425758045005,97.3667059440334,226.5283609366371
71,543685,Anthony,Rendon,61,122.61550730143283,116.81031465271465,99.71627511931901,106.70302464445382,116.64315946494224,111.72890014403262,439.87277388142974,109.15890983677583,226.33111355950854
72,630105,Jake,Cronenworth,92,89.42935369484938,108.02675722860012,100.02236994258963,103.46755484189114,110.81510575487124,153.5184108472552,422.33178776795216,104.80593544212651,226.27981771317883
73,682985,Riley,Greene,77,101.99380834619186,116.53795628297465,88.2213343136243,97.87451848575255,107.06053316327619,147.10041708273783,409.6943422456277,101.66982459769758,226.21693731216243
74,607732,Jacob,Stallings,22,135.99174446158912,111.26984380924729,106.30396805492619,107.0034873353411,94.02493821625437,108.49787353489344,418.60223741576897,103.88040952918283,226.12521852742412
75,467793,Carlos,Santana,79,66.27445774393901,105.45517369194928,90.3826801564559,97.40844935010611,107.95024878541086,185.39630683240574,401.1965519839222,99.56101137699257,225.39639366516496
76,502671,Paul,Goldschmidt,75,119.67273512619845,105.4830571329043,89.0887505561527,93.20374209867582,117.40778046294756,129.65463577153676,405.18333025068034,100.55037101732707,225.21405646619468
77,657077,Alex,Verdugo,94,91.50508337442035,115.85246303866286,87.19270320975745,97.26108847706543,107.73690837279146,156.25675485344928,408.0431630982772,101.26006767166746,225.14098678560228
78,702358,Trey,Lipscomb,63,112.78680393838145,92.80480507366102,144.55184845306687,111.13972426038575,82.27182093922258,123.51568521417231,430.7681987263362,106.89951676343934,225.05076133971622
79,592663,J. T.,Realmuto,74,106.12869246833476,98.2677141845801,113.23475733908279,100.73176425425949,99.93527018027899,136.7758184180795,412.1695059582014,102.28406168754512,223.73631713075224
80,694497,Evan,Carter,71,84.27657403253411,115.60265968359285,81.75926205498304,97.41034394008842,108.73911217160814,162.61056868032145,403.5113778502725,100.13545899693297,223.57903035336074
81,666969,Adolis,García,80,112.19318918081103,95.22700356551645,109.89900807048234,96.31920519149698,98.12920139236073,135.0345888054452,399.5744182198565,99.15846235871084,222.77235135183895
82,624431,Jose,Trevino,47,103.44052903195345,116.46093185714321,111.42538318257236,106.96574360083126,89.81855940131668,130.1457518161259,424.6706180418635,105.38634000033684,222.17948042437652
83,664314,Estevan,Florial,29,103.16615097086073,98.66016128433867,135.83284807018345,112.5972944146203,95.52672542387512,121.4284420246684,442.6170291930175,109.83992474816348,222.13722124592806
84,660271,Shohei,Ohtani,94,135.26838411870835,106.69462342853421,92.04814556724538,92.59893148039092,115.78668492290947,106.5721816758465,407.12838539908,101.03305626674182,221.95333916401924
85,668939,Adley,Rutschman,100,127.15228107158585,91.52071343113236,80.58442890882466,84.82006015711863,112.08045171430324,133.19476392628357,369.00565421137895,91.57251216502472,221.74603466395945
86,571970,Max,Muncy,62,96.51027026306325,109.4671139916481,91.05917811554252,97.2651125901435,100.0334403129753,149.51898736452438,397.82484501030945,98.72428794380316,221.738916757597
87,666176,Jo,Adell,45,116.34849248380404,94.17027404734755,97.89515808183144,97.08035278151009,81.72044012869516,142.91476897544393,370.86622503938423,92.03423176968911,221.6658624993131
88,664901,Danny,Mendick,27,124.65909908979003,97.54665642778969,132.8799600686577,104.48444690432162,77.11694494052442,112.71113223321092,412.0280083412934,102.24894761246861,220.9340632739691
89,668930,Brice,Turang,83,126.16101594629352,104.51090741391323,94.99121469772965,104.21823727649577,114.47737135816611,107.82229524389162,418.1977307463047,103.78002707843281,220.7716826735254
